plough, truck, gate, pizzas, push, pail, aunt, payment, wheel, roof, veil, fuel, growth, list, play, beam
8, 1.000000, 1211853173, 1, ff61fc3a, flag, N, 0, 0.000000, 1, 0, 0, 3, 2, -2724.519871, 271698
5093, 1.000000, 176676, 1, 1, yam, l, 1, 33.252334, 0, 0, 1, 21, 8, 1.000000, 41263119775644
3, 1.000000, 1, 0, 729346e1, flight, J, 0, 48.812310, 1, 1, 0, 1, 12, 0.024990, 11242526687911968059
0, -21.542955, 1, 0, 62b9, owner, @, 1, 1.000000, 0, 0, 0, 8, 167, 4074.096916, 1
52789, 19.835968, 2, 0, 5ad9f996, show, x, 0, 0.024480, 1, 1, 0, 10, 1, -0.672150, 0
7883, -0.765600, -5, 0, 1af, canvas, [, 0, 1.000000, 0, 0, 1, 14, 1, -3832.697887, 32707
33734, -0.099197, -1140645909, 1, bfea0c20, monkey, y, 0, -31.740754, 0, 0, 0, 246, 174, -0.001080, 2300666349007
21, -15.666375, -1362588567, 1, 0, death, O, 0, -0.000001, 0, 0, 0, 250, 47, 0.034588, 5650
1, -24.295942, 2540, 0, b, toothbrush, h, 1, 1.000000, 1, 1, 1, 6, 4, 1.000000, 12486036590465825321
348, 0.000225, -1140645909, 0, 1, park, ?, 1, -31.740754, 1, 0, 0, 1, 174, -0.001080, 76077
138, -0.023195, 0, 1, ff61fc3a, playground, ., 0, 0.000000, 0, 0, 1, 0, 1, 0.000000, 2036197970
1, -0.000000, 13, 0, 1, meal, /, 1, -53.450978, 1, 1, 0, 118, 4, 2776.676987, 1
50, -0.021132, 1163762697, 1, 9b03875f, holiday, >, 0, -0.000001, 0, 1, 0, 8, 117, -3396.977703, 232119017797
1, 29.456543, 1, 0, 83b7129c, punishment, j, 1, 0.000000, 1, 1, 0, 1, 0, 1.000000, 1
