plough, truck, gate, pizzas, push, pail, aunt, payment, wheel, roof, veil, fuel, growth, list, play, beam
7560, 1.000000, 220, 0, 0, manager, T, 0, -50.401600, 0, 1, 1, 4, 3, -2365.464600, 177655
32, -20.117216, 3071, 0, 6e32, temper, J, 1, 30.619520, 1, 1, 1, 69, 22, -0.000004, 7
3, 0.000000, 1, 0, f5f3, donkey, r, 0, 0.000007, 0, 1, 1, 6, 1, 2784.879395, 108
0, 6.523692, 0, 1, 9b1, apparel, B, 0, 1.000000, 0, 0, 1, 1, 47, 0.347153, 181608
30, 0.000000, 190211768, 0, 1, carriage, G, 1, 0.000000, 0, 1, 1, 1, 0, -2640.316406, 0
74, 0.000000, 23610119, 0, 9b1, cloth, B, 1, 1.000000, 1, 0, 1, 1, 123, 0.347153, 175861
0, 26.313726, 1, 1, 6d9a, class, r, 0, -18.441984, 0, 0, 0, 69, 212, -140.517563, 11278
618, 0.000000, 13, 1, 1, carriage, <, 0, 0.000000, 0, 1, 0, 1, 0, -2640.316406, 0
1, 1.000000, 3613745, 0, 17726f, feet, I, 0, 0.000043, 0, 0, 0, 1, 0, 0.000008, 103725005
1, 0.000000, 8156, 0, f5f3, donkey, *, 0, 0.000043, 1, 0, 0, 6, 1, 1.000000, 108
3, 0.000071, 337, 0, 2e, donkey, r, 0, 0.000007, 0, 1, 1, 6, 1, 2784.879395, 108
74, 0.000000, 1, 0, 7060, shake, d, 1, 1.000000, 1, 1, 0, 3, 123, -0.000004, 7
74, 6.523692, 0, 1, 16b7, apparel, i, 1, 1.000000, 1, 1, 0, 3, 47, 0.347153, 22
3439, 0.000012, 8156, 0, f5f3, mine, I, 0, 0.000043, 1, 0, 0, 6, 1, 1.000000, 108
35984, 0.946352, 111, 0, 7060, office, y, 1, 1.000000, 0, 0, 1, 1, 3, -1312.831421, 1
74, 0.946352, 520, 0, 7060, apparel, i, 1, -52.575867, 1, 1, 1, 3, 47, 0.000000, 22
30, 0.000000, 3071, 0, 460efabf, carriage, w, 1, 0.000000, 0, 1, 0, 1, 49, -2640.316406, 9406063
6, -0.000027, 0, 1, 4fa, comfort, B, 1, 1.000000, 1, 0, 1, 4, 47, 0.347153, 39
7560, 0.000000, 11, 1, 6d9a, carriage, T, 0, 58.459679, 0, 0, 0, 218, 2, -140.517563, 0
1, 1.000000, 111, 0, 3b301, jump, 4, 0, 0.000043, 0, 0, 0, 1, 4, 0.000000, 1
3076, 0.000000, 11, 0, 0, mitten, A, 0, -18.441984, 1, 0, 0, 0, 1, 1.000000, 1672105944
0, 26.313726, 3071, 0, 5aecd20, class, r, 0, -0.000321, 0, 0, 1, 69, 1, -0.000004, 9406063
3, 0.000000, 8156, 0, 5aecd20, donkey, 5, 1, 0.000043, 0, 0, 0, 6, 2, 0.001041, 1
74, 0.000000, 23610119, 1, 7060, instrument, d, 1, 1.000000, 1, 0, 0, 1, 123, -1312.831421, 175861
3076, 0.000000, 1754906099, 0, 5aecd20, canvas, A, 0, -18.441984, 1, 0, 1, 31, 1, -140.517563, 0
618, 1.000000, 0, 0, 1, class, ^, 1, 0.000000, 0, 1, 1, 1, 11, -2640.316406, 0
74, -20.117216, 13, 0, e5da, temper, Y, 1, 30.619520, 1, 1, 0, 0, 22, -0.000004, 7
1, 1.000000, 220, 0, ff0b5, home, 5, 0, 0.000043, 0, 0, 0, 1, 44, 0.000008, 255
